ID;Session;Period;Session_type;Final_payoff;Lottery;Lottery_payoff;Game_payoff;Period_paid;Currency;Risk_order;ShowUp_fee;EG_q1;EG_q2;EG_q3;EG_q_env1;EG_q_env2;EG_q_ultimatum;Role;Payoff;w;T;a;Good_state;Partner_lottery;Group;Survey_payoff;Survey_strategy;Survey_risk;Survey_genre;Survey_age;Survey_BACplus;Survey_field;Survey_lot;Survey_lot_comment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;1;1;alpha_25;4;6;0;5;7;0,8;1;5;0;1;0;1;0;0;Manufacturer;0;0,6;0;1;0;2;1;0;faire en sorte que la somme moyenne que l'autre participant peut gagner soit positive (1/4*gain1 + 3/4*gain2);8;f;20;3;inge-info-phy;1;J'ai essayé de regarder si l'autre était prudent ou non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;1;alpha_25;11,4;2;5;8;7;0,8;1;5;0;0;1;1;0;0;Retailer;0;0,6;0;1;0;6;1;0;"accepter de base, à part si jamais il y avait eu des offres plus ""extremes"" ";4;m;24;3;other;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;1;alpha_25;12;6;12;0;7;0,8;1;5;0;0;1;1;0;0;Manufacturer;0;0,1;0,08;0;NA;2;2;0;Ne pas l'effrayer en lui proposant aucun risque de perte de gain. Tout en maximisant mon profit;5;m;21;4;bio-chim-sante-staps;1;regarder si l'autre est joueur, si par exemple il avait fait 4e / 4e à la loterie je jouais safe pour ne pas l'effrayer car c'est quelqu'un qui ne prend pas de risque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1;1;alpha_25;4,2;2;5;-1;7;0,8;1;5;1;0;0;1;0;0;Retailer;0;0,1;0,08;0;NA;6;2;0;Lorsque la perte dans l'environnement B était supérieur à 5 UME je n'acceptais pas.;6;f;22;4;droit-iep-gestion-comm;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;1;alpha_25;11,2;6;12;-1;7;0,8;1;5;0;0;1;1;0;0;Manufacturer;-1;0,4;-0,01;1;0;2;3;0;Voir sa propension à prendre des risques par rapport à la loterie. Et ensuite décider s'il serait plutôt d'accord pour prendre deux petits gains sûrs ou calculer une espérance pour gagner le plus (et dans ce cas là lui proposer une perte à 75% sûre);8;m;20;3;inge-info-phy;1;Voir au-dessus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1;1;alpha_25;1,8;2;5;-4;7;0,8;1;5;0;0;1;1;0;0;Retailer;1;0,4;-0,01;1;0;6;3;0;Je regarde si dans les deux cas je gagne quelques choses, et si la différence entre les deux environnements est trop grande je refuse (par exemple si dans le A je gagne 32 UME et dans le B je perds 20 UME);5;f;19;2;shs;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1;1;alpha_25;0;6;0;0;7;0,8;1;5;0;0;1;1;0;0;Manufacturer;12;0,05;0,1;1;1;2;4;0;Proposer un environnement 1 très attrayant, au détriment de l'environnement 2. Puis cette stratégie a évolué pour des gains moindres mais pour l'offreur et le receveur, que ce soit dans l'evt 1 ou 2.;7;m;21;5;bio-chim-sante-staps;1;4/4 préfèrent généralement le partage des gains. 5/3.5 minimisent la prise de risque, bien qu'elle soit quand même un peu présente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1;1;alpha_25;17,8;2;5;16;7;0,8;1;5;0;0;1;1;0;0;Retailer;12;0,05;0,1;1;1;6;4;0;En cas de refus, le gain est forcément de 0 donc autant avoir 25% de chances de gagner quelque chose.;7;f;22;4;bio-chim-sante-staps;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1;1;alpha_25;10;5;10;0;7;0,8;1;5;0;0;1;1;0;0;Manufacturer;0;0,35;0;1;0;2;5;0;j'ai essayé de faire du profit pour les deux ;7;f;21;4;droit-iep-gestion-comm;1;"voir s'il préféré un choix ""rationnel"" cad avec peu de risque ou si le risque pouvait etre pris ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;1;alpha_25;5;2;5;0;7;0,8;1;5;0;0;1;1;0;0;Retailer;0;0,35;0;1;0;5;5;0;Je prends comme base le gain le plus faible et je fais la différence avec la pire possibilité. Si je gagne, même 0.50 € je valide. J'essaie aussi de voir la stratégie du partenaire, voir par exemple s'il ne valide pas des gains peut importe le tirage.;3;m;23;5;other;1;Prise en compte gain/perte pour le partenaire et s'il n'a pas essayé de m'arnaquer. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
